"foraging robots"	"building robots"	"average estimate"	"average deviation"	"construction events"	"blocks in cache"	"average degree"
13	37	0	-0.0901538	0	0.0032	1.5
14	36	0	-0.09006	0	0.0032	1.41667
12	38	0	-0.0886748	0	0.0064	1.44
12	38	0	-0.0892136	0	0.0064	1.52
12	38	0	-0.0905256	0	0.0064	1.52
12	38	0	-0.0905136	0	0.0064	1.52
12	38	0	-0.0915204	1	0.0048	1.52
12	38	0	-0.091714	1	0.0048	1.52
12	38	0	-0.0924292	1	0.0048	1.52
12	38	0	-0.0931844	1	0.0048	1.52
12	38	0	-0.0929967	1	0.0048	1.58333
13	37	0	-0.0932025	0	0.0048	1.58333
13	37	0	-0.0935413	0	0.0048	1.58333
13	37	0	-0.0941688	0	0.0048	1.58333
13	37	0	-0.0926232	0	0.0048	1.68
13	37	0	-0.0914532	0	0.0048	1.84
13	37	0	-0.092362	0	0.0048	1.84
13	37	0	-0.0921196	0	0.0048	1.92
13	37	0	-0.0924244	0	0.0048	1.92
13	37	0	-0.0927067	0	0.0048	2
14	36	0	-0.0911012	0	0.0048	2.04
13	37	0	-0.0893716	0	0.0064	2.24
13	37	0	-0.0899848	0	0.0064	2.24
12	38	0.0044736	-0.085512	0	0.008	2.24
12	38	0.007456	-0.082898	0	0.008	2.24
12	38	0.0063376	-0.0838916	0	0.008	2.24
12	38	0.0067412	-0.083672	0	0.008	2.24
12	38	0.006322	-0.0840592	0	0.008	2.24
12	38	0.00646	-0.0838968	0	0.008	2.24
12	38	0.0063704	-0.0847876	0	0.008	2.24
11	39	0.00666625	-0.0848958	0	0.0096	2.33333
12	38	0.00663167	-0.0848758	0	0.0096	2.25
12	38	0.00658333	-0.0854808	0	0.0096	2.33333
12	38	0.00658167	-0.0862279	0	0.0096	2.33333
12	38	0.0065725	-0.0865554	0	0.0096	2.25
12	38	0.0065725	-0.086645	0	0.0096	2.25
12	38	0.00657417	-0.0867304	0	0.0096	2.25
12	38	0.00657167	-0.0870362	0	0.0096	2.25
11	39	0.00657	-0.0873254	0	0.0112	2.16667
11	39	0.00657042	-0.0873758	0	0.0112	2.16667
11	39	0.00656958	-0.0874008	0	0.0112	2.16667
